Annotator,Drug Name,Experimental evidence,Identifier,Reference,Reference (2),Reference (3),SMILES,Score
Patrick,Mesalazine,"None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).",cov001,https://www.nature.com/articles/s41421-020-0153-3,,,C1=CC(=C(C=C1N)C(=O)O)O,0
Patrick,Toremifene,"None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).",cov002,https://www.nature.com/articles/s41421-020-0153-3,,,CN(C)CCOC1=CC=C(C=C1)/C(=C(/CCCl)\C2=CC=CC=C2)/C3=CC=CC=C3,0
Patrick,Eplerenone,"None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).",cov003,https://www.nature.com/articles/s41421-020-0153-3,,,C[C@]12CCC(=O)C=C1C[C@H]([C@@H]3[C@]24[C@H](O4)C[C@]5([C@H]3CC[C@@]56CCC(=O)O6)C)C(=O)OC,0
Patrick,Paroxetine,"None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).",cov004,https://www.nature.com/articles/s41421-020-0153-3,,,C1CNC[C@H]([C@@H]1C2=CC=C(C=C2)F)COC3=CC4=C(C=C3)OCO4,0
Patrick,Sirolimus,"None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).",cov005,https://www.nature.com/articles/s41421-020-0153-3,,,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC,0
Patrick,Dactinomycin,"None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).",cov006,https://www.nature.com/articles/s41421-020-0153-3,,,C[C@@H]1[C@@H](C(=O)N[C@@H](C(=O)N2CCC[C@H]2C(=O)N(CC(=O)N([C@H](C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)N[C@H]6[C@H](OC(=O)[C@@H](N(C(=O)CN(C(=O)[C@@H]7CCCN7C(=O)[C@H](NC6=O)C(C)C)C)C)C(C)C)C)N)C,0
Patrick,Ibesartan,"None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).",cov007,https://www.nature.com/articles/s41421-020-0153-3,,,[2H]C1=C(C(=C(C(=C1CN2C(=NC3(C2=O)CCCC3)CCCC)[2H])[2H])C4=CC=CC=C4C5=NNN=N5)[2H],0
Patrick,Mercaptopurine,"None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).",cov008,https://www.nature.com/articles/s41421-020-0153-3,,,C1=NC2=C(N1)C(=S)N=CN2,0
Patrick,Melatonin,"None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).",cov009,https://www.nature.com/articles/s41421-020-0153-3,,,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,0
Patrick,Quinacrine,"None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).",cov010,https://www.nature.com/articles/s41421-020-0153-3,,,CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC,0
Patrick,Carvedilol,"None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).",cov011,https://www.nature.com/articles/s41421-020-0153-3,,,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O,0
Patrick,Colchicine,"None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).",cov012,https://www.nature.com/articles/s41421-020-0153-3,,,CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,0
